ObjectId,Data_Set_Name,Brief_Description_of_Data,Data_Source,Home_Department,Home_Department_Division,Data_Steward__Business__Name,Data_Custodian__Technical__Name,Data_Classification,Data_Format,Frequency_of_Data_Change,Time_Span,Geographic_Coverage,Geographic_Granularity,Link_to_Existing_Publication
101,APCD Gasoline Dispensing Construction Permits,​Permits to construct or modify a gasoline dispensing facility in Louisville/Jefferson County. Each permit is effective for one year. The same facility may have multiple construction permits over the years.,Hansen 8,Econ Growth & Innovation-Apcd,Compliance And Enforcement,Steven Gravatte,Bryan Frazar,Public,Oracle Database,Continuous,Unknown,Citywide,Latitude/longitude;#Street address,https://data.louisvilleky.gov/dataset/gasoline-dispensing-construction-permits
102,APCD Asbestos Removal Permits,"​Permits to remove or disturb asbestos-containing material in Louisville/Jefferson County. Each permit is for a specific site for a specific time period. Subtypes include: abatement for demolition, abatement for renovation, other abatement, friable blanket (annual), non-friable blanket (annual), and long term (annual).",Hansen 8,Econ Growth & Innovation-Apcd,Compliance And Enforcement,Steven Gravatte,Bryan Frazar,Public,Oracle Database,Continuous,Unknown,Citywide,Latitude/longitude;#Street address,https://data.louisvilleky.gov/dataset/asbestos-removal-permits
103,APCD Open Burning Permits,"​Permits for outdoor fires in Louisville/Jefferson County. Permits are not required for fires in manufactured or approved fire pits and chimineas or for fires solely for the purpose of cooking food. Subtypes include: recreational fires (bonfires and the like), training fires (for fire-fighting training), and agricultural or other controlled burns.",Hansen 8,Econ Growth & Innovation-Apcd,Compliance And Enforcement,(vacant),Bryan Frazar,Public,Oracle Database,Continuous,Unknown,Citywide,Latitude/longitude;#Street address;#Parcel (block/lot),https://data.louisvilleky.gov/dataset/open-burning-permits
104,Air Pollution Annual Emissions Estimates for Large Industrial Plants,​Emissions reported to APCD by large industrial facilities as part of APCD's annual point-source emissions inventory,Apcd Emissions Inventory System,Econ Growth & Innovation-Apcd,Industrial Permitting,Chris Gerstle,Bryan Frazar,Public,Access Backend,Yearly,Unknown,Citywide,Latitude/longitude,https://www3.epa.gov/enviro/facts/nei/
105,Air Pollution Emission Units of Large Industrial Plants,"​""Emission Units"" are containers/groupings of emission processes identified by or for large industrial facilities as part of APCD's annual point-source emissions inventory",Apcd Emissions Inventory System,Econ Growth & Innovation-Apcd,Industrial Permitting,Chris Gerstle,Bryan Frazar,Public,Access Backend,Yearly,Unknown,Citywide,Street address,https://www3.epa.gov/enviro/facts/nei/
106,Air Pollution Emission Processes at Large Industrial Plants,​Processes or pieces of equipment that can emit air pollution at large industrial facilities required to report emissions as part of APCD's annual point-source emissions inventory,Apcd Emissions Inventory System,Econ Growth & Innovation-Apcd,Industrial Permitting,Chris Gerstle,Bryan Frazar,Public,Access Backend,Yearly,Unknown,Citywide,Street address,https://www3.epa.gov/enviro/facts/nei/
107,Air Pollution Emission Release Points at Large Industrial Plants,​Release points (smokestacks and fugitive release locations) of air pollutant emissions reported by large industrial facilities as part of APCD's annual point-source emissions inventory,Apcd Emissions Inventory System,Econ Growth & Innovation-Apcd,Industrial Permitting,Chris Gerstle,Bryan Frazar,Public,Access Backend,Yearly,Unknown,Citywide,Latitude/longitude;#Not applicable,https://www3.epa.gov/enviro/facts/nei/
108,Air Pollution Emission Control Measures at Large Industrial Plants,"​Control measures, including control devices, used to control air pollutant emissions from emission processes at large industrial facilities, identified as part of APCD's annual point-source emissions inventory",Apcd Emissions Inventory System,Econ Growth & Innovation-Apcd,Industrial Permitting,Chris Gerstle,Bryan Frazar,Public,Access Backend,Yearly,Unknown,Citywide,Street address,https://www3.epa.gov/enviro/facts/nei/
109,311 Service Requests,​Citizen requests for service in multiple categories to be resolved by multiple agencies.,Accela,Emergency Mgt Agency/Metrosafe,Metro311,Jody Duncan,Jody Duncan,Internal,Csv File,Continuous,Daily,Citywide,Latitude/longitude,https://data.louisvilleky.gov/dataset/311-service-requests
110,Community Warning Sirens,"​Point layer of emergency management sirens for Jefferson, Bullitt, Oldham & Shelby County.​",Lojic,Emergency Mgt Agency/Metrosafe,Unspecified,Jim McKinney,Jim McKinney,Public,Oracle Database,Continuous,Unknown,Regional,Latitude/longitude,No link available
